Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,33.917892,35.945827,33.917892,35.945827,26.684866,31204789
2000-01-04,36.902668,38.823490,35.888702,38.823490,28.821142,66436055
2000-01-05,36.652744,41.115627,36.652744,40.344440,29.950235,187894923
2000-01-06,41.272720,42.943623,41.272720,42.036766,31.206556,109810562
2000-01-07,42.129593,45.399994,41.843967,44.921570,33.348133,139140630
2000-01-10,45.328587,45.514240,43.600559,44.057556,32.706718,93948967
2000-01-11,43.979012,44.407448,40.537235,41.201313,30.586346,87837898
2000-01-12,41.272720,43.557716,40.294456,43.086433,31.985792,84793235
2000-01-13,43.700527,45.185776,43.429184,44.535976,33.061886,119569925
2000-01-14,44.200371,45.935539,44.200371,45.171494,33.533669,94253808
2000-01-17,45.449978,46.114052,43.850479,44.093262,32.733223,75127904
2000-01-18,44.128963,45.549946,43.636261,44.871586,33.311020,70605468
2000-01-19,46.106911,46.399677,45.157211,45.642773,33.883530,80395046
2000-01-20,45.699898,46.399677,44.350323,44.678791,33.167896,108034978
2000-01-21,44.657368,46.899521,44.557400,46.606754,34.599152,119997270
2000-01-24,46.485367,47.392223,45.985523,46.578194,34.577946,92172116
2000-01-25,46.421101,46.456802,45.449978,45.692757,33.920624,68292136
2000-01-26,45.692757,45.692757,45.692757,45.692757,33.920624,0
2000-01-27,46.985207,48.099140,46.085491,47.834942,35.510910,105134980
2000-01-28,47.970612,48.827484,47.356518,48.320499,35.871368,82165623
2000-01-31,47.763535,47.984894,46.635319,46.863815,34.789982,71361776
2000-02-01,47.242268,48.191971,46.842396,47.706409,35.415497,74978225
2000-02-02,48.970299,49.541546,48.349064,48.577564,36.062206,69677865
2000-02-03,48.841766,49.055984,48.042019,48.791782,36.221237,47415611
2000-02-04,49.127392,49.605812,48.798923,49.148811,36.486271,49764032
2000-02-07,48.713234,49.905716,48.277657,49.070267,36.427971,57373544
2000-02-08,49.341606,49.541546,48.706093,48.898891,36.300747,45028798
2000-02-09,49.841450,50.648338,49.241638,50.041389,37.148895,80082951
2000-02-10,49.812889,51.955070,49.255920,50.805431,37.716084,75571837
2000-02-11,51.983635,53.411755,51.419525,51.883663,38.516537,57107362
2000-02-14,51.269573,51.540916,49.984264,50.284168,37.329128,35903092
2000-02-15,50.269886,50.612637,48.848907,49.177376,36.507488,56888263
2000-02-16,49.984264,50.526951,48.998859,49.720062,36.910355,55152101
2000-02-17,49.655796,50.955387,49.627232,50.634060,37.588871,53712644
2000-02-18,50.969666,51.119621,49.698639,49.905716,37.048172,35225755
2000-02-21,49.755764,50.269886,48.791782,49.363029,36.645309,20617316
2000-02-22,49.413013,49.555828,47.485050,47.749252,35.447296,50361544
2000-02-23,49.227360,49.227360,46.742428,47.099457,34.964912,33832723
2000-02-24,47.542175,48.656109,47.028049,48.092003,35.701744,39659592
2000-02-25,48.756077,48.970299,46.571053,46.928082,34.837685,27393300
2000-02-28,46.392536,48.163406,44.271774,47.570736,35.314766,35193104
2000-02-29,48.256237,48.963158,43.764793,44.393166,32.955856,69812720
2000-03-01,44.985836,47.106598,42.700844,45.242901,33.586674,75384941
2000-03-02,45.535664,45.985523,41.629749,41.665455,30.930902,87781342
2000-03-03,40.858566,40.858566,38.337929,38.337929,28.460680,32467650
2000-03-06,38.337929,40.537235,35.274609,36.267155,26.923409,73037978
2000-03-07,36.702728,36.988354,34.274921,34.603390,25.688290,66944219
2000-03-08,35.260326,35.774452,32.846802,33.268097,24.697018,50810623
2000-03-09,33.689392,34.617672,32.011349,33.032455,24.522085,38832765
2000-03-10,33.418049,33.532299,30.647493,30.968821,22.990118,46194721
2000-03-13,31.404398,32.775394,28.605280,29.019436,21.542969,75381531
2000-03-14,29.347902,31.347273,28.155420,31.304430,23.239265,70766498
2000-03-15,31.989927,33.810783,30.847431,33.810783,25.099886,39991140
2000-03-16,34.203518,35.388859,32.861084,33.539440,24.898451,73973346
2000-03-17,33.539440,33.539440,33.539440,33.539440,24.898451,0
2000-03-20,33.539440,33.539440,33.539440,33.539440,24.898451,0
2000-03-21,34.103550,34.674797,32.504051,33.975018,25.221813,47881321
2000-03-22,34.988983,35.488827,34.446297,34.760487,25.804913,34532159
2000-03-23,35.024689,35.103233,34.067844,34.410595,25.545164,30012369
2000-03-24,34.160671,34.696220,33.939316,34.360611,25.508057,18470763
2000-03-27,34.703362,37.109745,34.703362,37.109745,27.548916,29000789
2000-03-28,37.573887,40.080238,37.573887,40.080238,29.754108,49202812
2000-03-29,40.672909,41.401253,38.416477,38.744946,28.762825,71967481
2000-03-30,38.416477,41.843967,36.888386,41.843967,31.063425,120216103
2000-03-31,42.415218,45.192913,40.001694,45.192913,33.549568,137972711
2000-04-03,46.792412,47.656425,45.428555,46.928082,34.837685,149518197
2000-04-04,46.556770,46.556770,43.179264,43.179264,32.054699,94743234
2000-04-05,43.329216,44.557400,39.737488,43.164982,32.044102,176360130
2000-04-06,43.272091,46.621037,43.207825,46.578194,35.390121,113709263
2000-04-07,47.099457,50.305592,47.099457,50.305592,38.222206,81828761
2000-04-10,52.826225,54.268627,51.340981,52.062180,39.556866,154823760
2000-04-11,51.126762,51.269573,49.484421,50.519810,38.384972,68338357
2000-04-12,50.983948,51.412384,47.756393,48.263374,36.670532,120885128
2000-04-13,47.285114,47.285114,44.407448,44.407448,33.740803,1576987
2000-04-14,44.407448,44.407448,44.407448,44.407448,33.740803,0
2000-04-17,40.858566,42.957905,40.858566,42.615154,32.379013,111556785
2000-04-18,42.429501,44.114681,41.986782,42.850796,32.558048,61449785
2000-04-19,43.943310,46.278286,43.286373,44.964417,34.163982,114091982
2000-04-20,44.700211,48.563282,44.164665,48.234814,36.648830,135758663
2000-04-21,48.234814,48.234814,48.234814,48.234814,36.648830,0
2000-04-24,49.413013,51.498074,46.128334,48.120564,36.562019,123366632
2000-04-25,46.028366,48.484734,44.507416,47.420784,36.030319,110701620
2000-04-26,48.556141,51.219589,48.556141,51.119621,38.840710,119026575
2000-04-27,51.526634,52.269257,48.313362,49.363029,37.506050,206898260
2000-04-28,49.627232,50.255608,48.598984,49.277344,37.440937,94014171
2000-05-01,49.277344,49.277344,49.277344,49.277344,37.440937,0
2000-05-02,49.698639,50.648338,46.449661,47.006630,35.715652,115008851
2000-05-03,46.699581,47.677845,44.157524,46.842396,35.590874,96352095
